# LichKingMod → BeiDou 移植清单（由 docs/tools/gen-port-manifest.sh 生成，勿手工增删行）
# 源仓库: /e/Programming/MapleStoryPS/HeavenMS_LichKingMod
# base=b0671161  head=ac7830b5  跳过的格式化提交=91235cf0
#
# 刻意不写生成时间戳：重跑后 git diff 为空 == 分母没变，这个信号比时间戳有用。
# 上次再生成的时间去 git log 查。
#
# disposition 只能是以下六种：
#   ported        已移植      —— evidence 必须填 BeiDou 侧文件路径
#   already-fixed BeiDou 已有 —— evidence 必须填 文件:行号（不填就是垃圾桶）
#   rejected      明确不搬    —— evidence 必须填一句理由。这是终局决定
#   deferred      暂缓        —— evidence 必须填「为什么缓」+「什么条件下重启」
#   noise         格式化/汉化/垃圾
#   pending       还没看
#
# 收工判据是 pending 归零 且 deferred 清单被逐条复核过。
# deferred 不等于做完：它是一笔记在账上的待办，跟 rejected（终局不做）是两回事，
# 不给它单独一档的话，暂缓项会混进 rejected 里再也没人翻出来。
path	area	added	deleted	disposition	evidence
config.yaml	config	70	46	pending	真配置：倍率/开关/投票回调/召回限制等，须落成 game_config 记录（批次 0）
configServer.yaml	config	70	46	pending	真配置：倍率/开关/投票回调/召回限制等，须落成 game_config 记录（批次 0）
configServer2.yaml	config	483	0	pending	真配置：倍率/开关/投票回调/召回限制等，须落成 game_config 记录（批次 0）
handbook/Cash.txt	handbook	15	5	pending	GM 手册参考数据；BeiDou 有自己的 gms-server/handbook，需比对
handbook/Equip/Accessory.txt	handbook	5	5	pending	GM 手册参考数据；BeiDou 有自己的 gms-server/handbook，需比对
handbook/Equip/Cape.txt	handbook	4	4	pending	GM 手册参考数据；BeiDou 有自己的 gms-server/handbook，需比对
handbook/Equip/Ring.txt	handbook	1	0	pending	GM 手册参考数据；BeiDou 有自己的 gms-server/handbook，需比对
handbook/Equip/Weapon.txt	handbook	5	1	pending	GM 手册参考数据；BeiDou 有自己的 gms-server/handbook，需比对
handbook/Etc.txt	handbook	19	15	pending	GM 手册参考数据；BeiDou 有自己的 gms-server/handbook，需比对
handbook/Map.txt	handbook	31	7	pending	GM 手册参考数据；BeiDou 有自己的 gms-server/handbook，需比对
handbook/Mob.txt	handbook	12	0	pending	GM 手册参考数据；BeiDou 有自己的 gms-server/handbook，需比对
handbook/NPC.txt	handbook	3	0	pending	GM 手册参考数据；BeiDou 有自己的 gms-server/handbook，需比对
handbook/Quest.txt	handbook	26	2	pending	GM 手册参考数据；BeiDou 有自己的 gms-server/handbook，需比对
handbook/Setup.txt	handbook	156	37	pending	GM 手册参考数据；BeiDou 有自己的 gms-server/handbook，需比对
handbook/Skill.txt	handbook	1	1	pending	GM 手册参考数据；BeiDou 有自己的 gms-server/handbook，需比对
handbook/Use.txt	handbook	245	229	pending	GM 手册参考数据；BeiDou 有自己的 gms-server/handbook，需比对
src/client/AbstractCharacterListener.java	java	0	0	noise	仅格式化/空白改动（git diff -w 后无差异）
src/client/AbstractMapleCharacterObject.java	java	0	0	noise	仅格式化/空白改动（git diff -w 后无差异）
src/client/BuddyList.java	java	0	0	noise	仅格式化/空白改动（git diff -w 后无差异）
src/client/BuddylistEntry.java	java	0	0	noise	仅格式化/空白改动（git diff -w 后无差异）
src/client/MapleBuffStat.java	java	0	0	noise	仅格式化/空白改动（git diff -w 后无差异）
src/client/MapleCharacter.java	java	277	198	pending	
src/client/MapleClient.java	java	47	12	pending	
src/client/MapleDisease.java	java	0	0	noise	仅格式化/空白改动（git diff -w 后无差异）
src/client/MapleDiseaseValueHolder.java	java	0	0	noise	仅格式化/空白改动（git diff -w 后无差异）
src/client/MapleFamily.java	java	0	0	noise	仅格式化/空白改动（git diff -w 后无差异）
src/client/MapleFamilyEntitlement.java	java	11	11	pending	
src/client/MapleFamilyEntry.java	java	0	0	noise	仅格式化/空白改动（git diff -w 后无差异）
src/client/MapleJob.java	java	0	0	noise	仅格式化/空白改动（git diff -w 后无差异）
src/client/MapleMount.java	java	0	0	noise	仅格式化/空白改动（git diff -w 后无差异）
src/client/MapleQuestStatus.java	java	0	0	noise	仅格式化/空白改动（git diff -w 后无差异）
src/client/MapleRing.java	java	0	0	noise	仅格式化/空白改动（git diff -w 后无差异）
src/client/MonsterBook.java	java	0	0	noise	仅格式化/空白改动（git diff -w 后无差异）
src/client/Skill.java	java	0	0	noise	仅格式化/空白改动（git diff -w 后无差异）
src/client/SkillFactory.java	java	0	0	noise	仅格式化/空白改动（git diff -w 后无差异）
src/client/SkillMacro.java	java	0	0	noise	仅格式化/空白改动（git diff -w 后无差异）
src/client/autoban/AutobanFactory.java	java	8	1	pending	
src/client/autoban/AutobanManager.java	java	67	2	pending	
src/client/command/Command.java	java	0	0	noise	仅格式化/空白改动（git diff -w 后无差异）
src/client/command/CommandsExecutor.java	java	220	187	pending	
src/client/command/commands/gm0/BuyBackCommand.java	java	2	2	pending	
src/client/command/commands/gm0/DisposeCommand.java	java	0	0	noise	仅格式化/空白改动（git diff -w 后无差异）
src/client/command/commands/gm0/DropLimitCommand.java	java	0	0	noise	仅格式化/空白改动（git diff -w 后无差异）
src/client/command/commands/gm0/GachaCommand.java	java	10	6	pending	
src/client/command/commands/gm0/HelpCommand.java	java	1	1	pending	
src/client/command/commands/gm0/JoinEventCommand.java	java	5	5	pending	
src/client/command/commands/gm0/LeaveEventCommand.java	java	1	1	pending	
src/client/command/commands/gm0/MapOwnerClaimCommand.java	java	22	15	pending	
src/client/command/commands/gm0/OnlineCommand.java	java	51	3	pending	
src/client/command/commands/gm0/RanksCommand.java	java	1	1	pending	
src/client/command/commands/gm0/RatesCommand.java	java	1	0	pending	
src/client/command/commands/gm0/ShowRatesCommand.java	java	1	1	pending	
src/client/command/commands/gm0/StatDexCommand.java	java	1	1	pending	
src/client/command/commands/gm0/StatIntCommand.java	java	1	1	pending	
src/client/command/commands/gm0/StatLukCommand.java	java	1	1	pending	
src/client/command/commands/gm0/StatStrCommand.java	java	1	1	pending	
src/client/command/commands/gm0/TimeCommand.java	java	0	0	noise	仅格式化/空白改动（git diff -w 后无差异）
src/client/command/commands/gm0/UptimeCommand.java	java	0	0	noise	仅格式化/空白改动（git diff -w 后无差异）
src/client/command/commands/gm1/BossHpCommand.java	java	1	1	pending	
src/client/command/commands/gm1/GotoCommand.java	java	12	5	pending	
src/client/command/commands/gm1/MobHpCommand.java	java	1	1	pending	
src/client/command/commands/gm1/WhatDropsFromCommand.java	java	33	16	pending	
src/client/command/commands/gm1/WhoDropsCommand.java	java	28	17	pending	
src/client/command/commands/gm2/BuffMapCommand.java	java	5	3	pending	
src/client/command/commands/gm2/ClearSavedLocationsCommand.java	java	0	0	noise	仅格式化/空白改动（git diff -w 后无差异）
src/client/command/commands/gm2/DcCommand.java	java	4	1	pending	
src/client/command/commands/gm2/EmpowerMeCommand.java	java	1	1	pending	
src/client/command/commands/gm2/GachaListCommand.java	java	1	1	pending	
src/client/command/commands/gm2/IdCommand.java	java	0	0	noise	仅格式化/空白改动（git diff -w 后无差异）
src/client/command/commands/gm2/ItemCommand.java	java	0	0	noise	仅格式化/空白改动（git diff -w 后无差异）
src/client/command/commands/gm2/ItemDropCommand.java	java	1	1	pending	
src/client/command/commands/gm2/JailCommand.java	java	3	1	pending	
src/client/command/commands/gm2/LootCommand.java	java	0	0	noise	仅格式化/空白改动（git diff -w 后无差异）
src/client/command/commands/gm2/MaxSkillCommand.java	java	0	0	noise	仅格式化/空白改动（git diff -w 后无差异）
src/client/command/commands/gm2/ReachCommand.java	java	2	1	pending	
src/client/command/commands/gm2/RechargeCommand.java	java	0	0	noise	仅格式化/空白改动（git diff -w 后无差异）
src/client/command/commands/gm2/SearchCommand.java	java	0	0	noise	仅格式化/空白改动（git diff -w 后无差异）
src/client/command/commands/gm2/SetSlotCommand.java	java	0	0	noise	仅格式化/空白改动（git diff -w 后无差异）
src/client/command/commands/gm2/SetStatCommand.java	java	0	0	noise	仅格式化/空白改动（git diff -w 后无差异）
src/client/command/commands/gm2/SummonCommand.java	java	25	22	pending	
src/client/command/commands/gm2/UnJailCommand.java	java	3	1	pending	
src/client/command/commands/gm2/WarpAreaCommand.java	java	0	0	noise	仅格式化/空白改动（git diff -w 后无差异）
src/client/command/commands/gm2/WarpCommand.java	java	1	1	pending	
src/client/command/commands/gm2/WarpMapCommand.java	java	0	0	noise	仅格式化/空白改动（git diff -w 后无差异）
src/client/command/commands/gm2/WhereaMiCommand.java	java	0	0	noise	仅格式化/空白改动（git diff -w 后无差异）
src/client/command/commands/gm3/BanCommand.java	java	10	8	pending	
src/client/command/commands/gm3/DebuffCommand.java	java	2	1	pending	
src/client/command/commands/gm3/FlyCommand.java	java	4	1	pending	
src/client/command/commands/gm3/GiveMesosCommand.java	java	6	4	pending	
src/client/command/commands/gm3/GiveNxCommand.java	java	14	8	pending	
src/client/command/commands/gm3/GiveRpCommand.java	java	0	0	noise	仅格式化/空白改动（git diff -w 后无差异）
src/client/command/commands/gm3/GiveVpCommand.java	java	3	2	pending	
src/client/command/commands/gm3/MaxHpMpCommand.java	java	0	0	noise	仅格式化/空白改动（git diff -w 后无差异）
src/client/command/commands/gm3/MusicCommand.java	java	0	0	noise	仅格式化/空白改动（git diff -w 后无差异）
src/client/command/commands/gm3/NoticeCommand.java	java	1	1	pending	
src/client/command/commands/gm3/OnlineTwoCommand.java	java	8	8	pending	
src/client/command/commands/gm3/QuestCompleteCommand.java	java	1	0	pending	
src/client/command/commands/gm3/QuestResetCommand.java	java	0	0	noise	仅格式化/空白改动（git diff -w 后无差异）
src/client/command/commands/gm3/QuestStartCommand.java	java	0	0	noise	仅格式化/空白改动（git diff -w 后无差异）
src/client/command/commands/gm3/ReloadMapCommand.java	java	0	0	noise	仅格式化/空白改动（git diff -w 后无差异）
src/client/command/commands/gm3/StartEventCommand.java	java	6	7	pending	
src/client/command/commands/gm3/TimerMapCommand.java	java	4	3	pending	
src/client/command/commands/gm4/BossDropRateCommand.java	java	0	0	noise	仅格式化/空白改动（git diff -w 后无差异）
src/client/command/commands/gm4/PapCommand.java	java	0	0	noise	仅格式化/空白改动（git diff -w 后无差异）
src/client/command/commands/gm4/PmobCommand.java	java	0	0	noise	仅格式化/空白改动（git diff -w 后无差异）
src/client/command/commands/gm4/PmobRemoveCommand.java	java	0	0	noise	仅格式化/空白改动（git diff -w 后无差异）
src/client/command/commands/gm4/PnpcCommand.java	java	0	0	noise	仅格式化/空白改动（git diff -w 后无差异）
src/client/command/commands/gm4/PnpcRemoveCommand.java	java	0	0	noise	仅格式化/空白改动（git diff -w 后无差异）
src/client/command/commands/gm4/ProItemCommand.java	java	0	0	noise	仅格式化/空白改动（git diff -w 后无差异）
src/client/command/commands/gm4/SetEqStatCommand.java	java	0	0	noise	仅格式化/空白改动（git diff -w 后无差异）
src/client/command/commands/gm5/DebugCommand.java	java	0	0	noise	仅格式化/空白改动（git diff -w 后无差异）
src/client/command/commands/gm5/IpListCommand.java	java	0	0	noise	仅格式化/空白改动（git diff -w 后无差异）
src/client/command/commands/gm5/ShowSessionsCommand.java	java	0	0	noise	仅格式化/空白改动（git diff -w 后无差异）
src/client/command/commands/gm6/ServerAddChannelCommand.java	java	0	0	noise	仅格式化/空白改动（git diff -w 后无差异）
src/client/command/commands/gm6/ServerAddWorldCommand.java	java	0	0	noise	仅格式化/空白改动（git diff -w 后无差异）
src/client/command/commands/gm6/ServerRemoveChannelCommand.java	java	0	0	noise	仅格式化/空白改动（git diff -w 后无差异）
src/client/command/commands/gm6/ServerRemoveWorldCommand.java	java	0	0	noise	仅格式化/空白改动（git diff -w 后无差异）
src/client/command/commands/gm6/ShutdownCommand.java	java	9	7	pending	
src/client/command/commands/gm6/SupplyRateCouponCommand.java	java	0	0	noise	仅格式化/空白改动（git diff -w 后无差异）
src/client/creator/CharacterFactory.java	java	0	0	noise	仅格式化/空白改动（git diff -w 后无差异）
src/client/creator/CharacterFactoryRecipe.java	java	0	0	noise	仅格式化/空白改动（git diff -w 后无差异）
src/client/creator/novice/BeginnerCreator.java	java	0	0	noise	仅格式化/空白改动（git diff -w 后无差异）
src/client/creator/novice/LegendCreator.java	java	0	0	noise	仅格式化/空白改动（git diff -w 后无差异）
src/client/creator/novice/NoblesseCreator.java	java	0	0	noise	仅格式化/空白改动（git diff -w 后无差异）
src/client/creator/veteran/BowmanCreator.java	java	0	0	noise	仅格式化/空白改动（git diff -w 后无差异）
src/client/creator/veteran/MagicianCreator.java	java	0	0	noise	仅格式化/空白改动（git diff -w 后无差异）
src/client/creator/veteran/PirateCreator.java	java	0	0	noise	仅格式化/空白改动（git diff -w 后无差异）
src/client/creator/veteran/ThiefCreator.java	java	0	0	noise	仅格式化/空白改动（git diff -w 后无差异）
src/client/creator/veteran/WarriorCreator.java	java	0	0	noise	仅格式化/空白改动（git diff -w 后无差异）
src/client/inventory/Equip.java	java	31	24	pending	
src/client/inventory/Item.java	java	0	0	noise	仅格式化/空白改动（git diff -w 后无差异）
src/client/inventory/ItemFactory.java	java	0	0	noise	仅格式化/空白改动（git diff -w 后无差异）
src/client/inventory/MapleInventory.java	java	0	0	noise	仅格式化/空白改动（git diff -w 后无差异）
src/client/inventory/MapleInventoryProof.java	java	0	0	noise	仅格式化/空白改动（git diff -w 后无差异）
src/client/inventory/MaplePet.java	java	0	0	noise	仅格式化/空白改动（git diff -w 后无差异）
src/client/inventory/ModifyInventory.java	java	0	0	noise	仅格式化/空白改动（git diff -w 后无差异）
src/client/inventory/PetDataFactory.java	java	0	0	noise	仅格式化/空白改动（git diff -w 后无差异）
src/client/inventory/manipulator/MapleCashidGenerator.java	java	0	0	noise	仅格式化/空白改动（git diff -w 后无差异）
src/client/inventory/manipulator/MapleInventoryManipulator.java	java	19	1	pending	
src/client/inventory/manipulator/MapleKarmaManipulator.java	java	0	0	noise	仅格式化/空白改动（git diff -w 后无差异）
src/client/keybind/MapleQuickslotBinding.java	java	0	0	noise	仅格式化/空白改动（git diff -w 后无差异）
src/client/newyear/NewYearCardRecord.java	java	0	0	noise	仅格式化/空白改动（git diff -w 后无差异）
src/client/processor/action/BuybackProcessor.java	java	1	1	pending	
src/client/processor/action/MakerProcessor.java	java	8	8	pending	
src/client/processor/action/PetAutopotProcessor.java	java	2	2	pending	
src/client/processor/action/SpawnPetProcessor.java	java	0	0	noise	仅格式化/空白改动（git diff -w 后无差异）
src/client/processor/npc/DueyProcessor.java	java	0	0	noise	仅格式化/空白改动（git diff -w 后无差异）
src/client/processor/npc/FredrickProcessor.java	java	2	2	pending	
src/client/processor/npc/StorageProcessor.java	java	0	0	noise	仅格式化/空白改动（git diff -w 后无差异）
src/client/processor/stat/AssignAPProcessor.java	java	3	3	pending	
src/client/processor/stat/AssignSPProcessor.java	java	0	0	noise	仅格式化/空白改动（git diff -w 后无差异）
src/client/status/MonsterStatus.java	java	0	0	noise	仅格式化/空白改动（git diff -w 后无差异）
src/client/status/MonsterStatusEffect.java	java	0	0	noise	仅格式化/空白改动（git diff -w 后无差异）
src/config/ServerConfig.java	java	20	8	pending	
src/config/WorldConfig.java	java	3	1	pending	
src/config/YamlConfig.java	java	0	0	noise	仅格式化/空白改动（git diff -w 后无差异）
src/constants/game/ExpTable.java	java	0	0	noise	仅格式化/空白改动（git diff -w 后无差异）
src/constants/game/GameConstants.java	java	19	3	pending	
src/constants/game/ScriptableNPCConstants.java	java	0	0	noise	仅格式化/空白改动（git diff -w 后无差异）
src/constants/inventory/EquipSlot.java	java	0	0	noise	仅格式化/空白改动（git diff -w 后无差异）
src/constants/inventory/EquipType.java	java	0	0	noise	仅格式化/空白改动（git diff -w 后无差异）
src/constants/inventory/ItemConstants.java	java	6	2	pending	
src/constants/net/OpcodeConstants.java	java	0	0	noise	仅格式化/空白改动（git diff -w 后无差异）
src/constants/net/ServerConstants.java	java	0	0	noise	仅格式化/空白改动（git diff -w 后无差异）
src/constants/skills/Aran.java	java	0	0	noise	仅格式化/空白改动（git diff -w 后无差异）
src/constants/skills/Archer.java	java	0	0	noise	仅格式化/空白改动（git diff -w 后无差异）
src/constants/skills/Assassin.java	java	0	0	noise	仅格式化/空白改动（git diff -w 后无差异）
src/constants/skills/Bandit.java	java	0	0	noise	仅格式化/空白改动（git diff -w 后无差异）
src/constants/skills/Beginner.java	java	0	0	noise	仅格式化/空白改动（git diff -w 后无差异）
src/constants/skills/Bishop.java	java	0	0	noise	仅格式化/空白改动（git diff -w 后无差异）
src/constants/skills/BlazeWizard.java	java	0	0	noise	仅格式化/空白改动（git diff -w 后无差异）
src/constants/skills/Bowmaster.java	java	0	0	noise	仅格式化/空白改动（git diff -w 后无差异）
src/constants/skills/Brawler.java	java	0	0	noise	仅格式化/空白改动（git diff -w 后无差异）
src/constants/skills/Buccaneer.java	java	0	0	noise	仅格式化/空白改动（git diff -w 后无差异）
src/constants/skills/ChiefBandit.java	java	0	0	noise	仅格式化/空白改动（git diff -w 后无差异）
src/constants/skills/Corsair.java	java	1	1	pending	
src/constants/skills/Crossbowman.java	java	0	0	noise	仅格式化/空白改动（git diff -w 后无差异）
src/constants/skills/Crusader.java	java	0	0	noise	仅格式化/空白改动（git diff -w 后无差异）
src/constants/skills/DarkKnight.java	java	0	0	noise	仅格式化/空白改动（git diff -w 后无差异）
src/constants/skills/DawnWarrior.java	java	0	0	noise	仅格式化/空白改动（git diff -w 后无差异）
src/constants/skills/DragonKnight.java	java	0	0	noise	仅格式化/空白改动（git diff -w 后无差异）
src/constants/skills/Evan.java	java	0	0	noise	仅格式化/空白改动（git diff -w 后无差异）
src/constants/skills/FPArchMage.java	java	0	0	noise	仅格式化/空白改动（git diff -w 后无差异）
src/constants/skills/FPMage.java	java	0	0	noise	仅格式化/空白改动（git diff -w 后无差异）
src/constants/skills/FPWizard.java	java	0	0	noise	仅格式化/空白改动（git diff -w 后无差异）
src/constants/skills/Fighter.java	java	0	0	noise	仅格式化/空白改动（git diff -w 后无差异）
src/constants/skills/GM.java	java	0	0	noise	仅格式化/空白改动（git diff -w 后无差异）
src/constants/skills/Gunslinger.java	java	0	0	noise	仅格式化/空白改动（git diff -w 后无差异）
src/constants/skills/Hermit.java	java	0	0	noise	仅格式化/空白改动（git diff -w 后无差异）
src/constants/skills/Hero.java	java	0	0	noise	仅格式化/空白改动（git diff -w 后无差异）
src/constants/skills/Hunter.java	java	0	0	noise	仅格式化/空白改动（git diff -w 后无差异）
src/constants/skills/ILArchMage.java	java	0	0	noise	仅格式化/空白改动（git diff -w 后无差异）
src/constants/skills/ILMage.java	java	0	0	noise	仅格式化/空白改动（git diff -w 后无差异）
src/constants/skills/ILWizard.java	java	0	0	noise	仅格式化/空白改动（git diff -w 后无差异）
src/constants/skills/Legend.java	java	0	0	noise	仅格式化/空白改动（git diff -w 后无差异）
